time_stamp,cpu,mem
1970-01-01 00:00:00,17.0,92.0
1970-01-01 00:05:00,20.0,92.0
1970-01-01 00:10:00,34.0,95.0
1970-01-01 00:15:00,27.0,93.0
1970-01-01 00:20:00,33.0,95.0
1970-01-01 00:25:00,31.0,95.0
1970-01-01 00:30:00,28.0,96.0
1970-01-01 00:35:00,21.0,91.0
1970-01-01 00:40:00,30.0,92.0
1970-01-01 00:45:00,21.0,92.0
1970-01-01 00:50:00,22.0,93.0
1970-01-01 00:55:00,21.0,93.0
1970-01-01 01:00:00,21.0,96.0
1970-01-01 01:05:00,27.0,95.0
1970-01-01 01:10:00,24.0,92.0
1970-01-01 01:15:00,16.0,90.0
1970-01-01 01:20:00,48.0,95.0
1970-01-01 01:25:00,40.0,86.0
1970-01-01 01:30:00,35.0,88.0
1970-01-01 01:35:00,40.0,91.0
1970-01-01 01:40:00,25.0,86.0
1970-01-01 01:45:00,36.0,87.0
1970-01-01 01:50:00,28.0,89.0
1970-01-01 01:55:00,27.0,88.0
1970-01-01 02:00:00,21.0,88.0
1970-01-01 02:05:00,28.0,90.0
1970-01-01 02:10:00,36.0,91.0
1970-01-01 02:15:00,35.0,91.0
1970-01-01 02:20:00,37.0,87.0
1970-01-01 02:25:00,26.0,87.0
1970-01-01 02:30:00,28.0,86.0
1970-01-01 02:35:00,30.0,86.0
1970-01-01 02:40:00,32.0,87.0
1970-01-01 02:45:00,30.5,86.5
1970-01-01 02:50:00,29.0,86.0
1970-01-01 02:55:00,28.0,87.0
1970-01-01 03:00:00,27.0,88.0
1970-01-01 03:05:00,32.0,93.0
1970-01-01 03:10:00,29.0,90.0
1970-01-01 03:15:00,21.0,86.0
1970-01-01 03:20:00,26.0,88.0
1970-01-01 03:25:00,31.0,90.0
1970-01-01 03:30:00,33.0,90.0
1970-01-01 03:35:00,33.0,86.0
1970-01-01 03:40:00,31.0,88.0
1970-01-01 03:45:00,28.0,89.0
1970-01-01 03:50:00,29.0,91.0
1970-01-01 03:55:00,29.0,89.0
1970-01-01 04:00:00,33.0,91.0
1970-01-01 04:05:00,46.0,91.0
1970-01-01 04:10:00,41.0,92.0
1970-01-01 04:15:00,36.0,93.0
1970-01-01 04:20:00,31.0,91.0
1970-01-01 04:25:00,24.0,89.0
1970-01-01 04:30:00,29.0,91.0
1970-01-01 04:35:00,26.0,91.0
1970-01-01 04:40:00,25.0,90.0
1970-01-01 04:45:00,23.0,89.0
1970-01-01 04:50:00,43.0,92.0
1970-01-01 04:55:00,32.0,90.0
1970-01-01 05:00:00,34.0,90.0
1970-01-01 05:05:00,39.0,91.0
1970-01-01 05:10:00,35.0,92.0
1970-01-01 05:15:00,31.0,91.0
1970-01-01 05:20:00,30.0,92.0
1970-01-01 05:25:00,50.0,91.0
1970-01-01 05:30:00,53.0,92.0
1970-01-01 05:35:00,46.0,89.0
1970-01-01 05:40:00,62.0,94.0
1970-01-01 05:45:00,55.0,95.0
1970-01-01 05:50:00,56.0,93.0
1970-01-01 05:55:00,57.0,90.0
1970-01-01 06:00:00,43.0,92.0
1970-01-01 06:05:00,47.5,91.0
1970-01-01 06:10:00,52.0,90.0
1970-01-01 06:15:00,78.0,94.0
1970-01-01 06:20:00,83.0,94.0
1970-01-01 06:25:00,70.0,95.0
1970-01-01 06:30:00,58.0,92.0
1970-01-01 06:35:00,52.0,93.0
1970-01-01 06:40:00,63.0,93.0
1970-01-01 06:45:00,56.0,93.0
1970-01-01 06:50:00,52.0,94.0
1970-01-01 06:55:00,48.0,95.0
1970-01-01 07:00:00,38.0,86.0
1970-01-01 07:05:00,56.0,90.0
1970-01-01 07:10:00,42.0,87.0
1970-01-01 07:15:00,42.0,87.0
1970-01-01 07:20:00,44.0,89.66666666666667
1970-01-01 07:25:00,46.0,92.33333333333333
1970-01-01 07:30:00,48.0,95.0
1970-01-01 07:35:00,47.0,95.0
1970-01-01 07:40:00,46.0,95.0
1970-01-01 07:45:00,32.0,91.0
1970-01-01 07:50:00,35.0,90.0
1970-01-01 07:55:00,37.0,90.0
1970-01-01 08:00:00,44.0,96.0
1970-01-01 08:05:00,49.0,92.0
1970-01-01 08:10:00,56.0,90.0
1970-01-01 08:15:00,55.30769230769231,90.07692307692308
1970-01-01 08:20:00,54.61538461538461,90.15384615384616
1970-01-01 08:25:00,53.92307692307692,90.23076923076923
1970-01-01 08:30:00,53.23076923076923,90.3076923076923
1970-01-01 08:35:00,52.53846153846154,90.38461538461539
1970-01-01 08:40:00,51.84615384615385,90.46153846153847
1970-01-01 08:45:00,51.15384615384615,90.53846153846153
1970-01-01 08:50:00,50.46153846153846,90.61538461538461
1970-01-01 08:55:00,49.76923076923077,90.6923076923077
1970-01-01 09:00:00,49.07692307692308,90.76923076923077
1970-01-01 09:05:00,48.38461538461539,90.84615384615384
1970-01-01 09:10:00,47.69230769230769,90.92307692307692
1970-01-01 09:15:00,47.0,91.0
1970-01-01 09:20:00,43.0,90.0
1970-01-01 09:25:00,47.0,90.0
1970-01-01 09:30:00,42.0,90.0
1970-01-01 09:35:00,40.0,89.0
1970-01-01 09:40:00,43.0,89.0
1970-01-01 09:45:00,42.0,89.0
1970-01-01 09:50:00,43.0,92.0
1970-01-01 09:55:00,42.0,89.0
1970-01-01 10:00:00,41.0,89.0
1970-01-01 10:05:00,48.0,92.0
1970-01-01 10:10:00,44.0,89.0
1970-01-01 10:15:00,54.0,93.0
1970-01-01 10:20:00,44.0,91.0
1970-01-01 10:25:00,40.0,90.0
1970-01-01 10:30:00,37.0,89.33333333333333
1970-01-01 10:35:00,34.0,88.66666666666667
1970-01-01 10:40:00,31.0,88.0
1970-01-01 10:45:00,37.0,89.0
1970-01-01 10:50:00,39.0,90.0
1970-01-01 10:55:00,38.0,91.0
1970-01-01 11:00:00,28.0,88.0
1970-01-01 11:05:00,49.0,95.0
1970-01-01 11:10:00,40.0,93.0
1970-01-01 11:15:00,45.0,92.0
1970-01-01 11:20:00,50.0,91.0
1970-01-01 11:25:00,45.0,90.5
1970-01-01 11:30:00,40.0,90.0
1970-01-01 11:35:00,35.0,89.5
1970-01-01 11:40:00,30.0,89.0
1970-01-01 11:45:00,36.0,90.0
1970-01-01 11:50:00,43.0,91.0
1970-01-01 11:55:00,41.0,91.0
1970-01-01 12:00:00,39.0,92.0
1970-01-01 12:05:00,39.0,92.0
1970-01-01 12:10:00,38.0,92.0
1970-01-01 12:15:00,53.0,97.0
1970-01-01 12:20:00,52.0,93.0
1970-01-01 12:25:00,47.0,92.0
1970-01-01 12:30:00,48.0,91.0
1970-01-01 12:35:00,44.0,90.0
1970-01-01 12:40:00,47.0,89.0
1970-01-01 12:45:00,47.0,90.0
1970-01-01 12:50:00,53.0,93.0
1970-01-01 12:55:00,50.0,93.0
1970-01-01 13:00:00,36.0,91.0
1970-01-01 13:05:00,35.0,93.0
1970-01-01 13:10:00,42.0,97.0
1970-01-01 13:15:00,40.0,95.0
1970-01-01 13:20:00,40.5,94.5
1970-01-01 13:25:00,41.0,94.0
1970-01-01 13:30:00,60.0,93.0
1970-01-01 13:35:00,37.0,94.0
1970-01-01 13:40:00,50.0,92.0
1970-01-01 13:45:00,31.0,90.0
1970-01-01 13:50:00,42.0,93.0
1970-01-01 13:55:00,43.0,95.0
1970-01-01 14:00:00,39.0,91.0
1970-01-01 14:05:00,38.0,94.0
1970-01-01 14:10:00,59.0,94.0
1970-01-01 14:15:00,47.0,94.0
1970-01-01 14:20:00,36.0,93.0
1970-01-01 14:25:00,45.0,94.0
1970-01-01 14:30:00,30.0,92.0
1970-01-01 14:35:00,39.0,94.0
1970-01-01 14:40:00,33.0,92.0
1970-01-01 14:45:00,31.0,91.0
1970-01-01 14:50:00,41.0,95.0
1970-01-01 14:55:00,35.0,95.0
1970-01-01 15:00:00,37.0,93.0
1970-01-01 15:05:00,37.0,97.0
1970-01-01 15:10:00,37.0,95.0
1970-01-01 15:15:00,35.0,93.0
1970-01-01 15:20:00,48.0,93.0
1970-01-01 15:25:00,38.0,94.0
1970-01-01 15:30:00,44.0,96.0
1970-01-01 15:35:00,40.0,97.0
1970-01-01 15:40:00,65.0,97.0
1970-01-01 15:45:00,45.0,97.0
1970-01-01 15:50:00,47.5,95.0
1970-01-01 15:55:00,50.0,93.0
1970-01-01 16:00:00,48.0,91.0
1970-01-01 16:05:00,47.0,94.0
1970-01-01 16:10:00,46.0,97.0
1970-01-01 16:15:00,51.0,95.0
1970-01-01 16:20:00,39.0,95.0
1970-01-01 16:25:00,42.0,96.0
1970-01-01 16:30:00,44.0,93.0
1970-01-01 16:35:00,43.0,93.0
1970-01-01 16:40:00,30.0,90.0
1970-01-01 16:45:00,28.0,91.0
1970-01-01 16:50:00,30.0,91.0
1970-01-01 16:55:00,34.0,92.0
1970-01-01 17:00:00,43.0,95.0
1970-01-01 17:05:00,39.0,94.0
1970-01-01 17:10:00,48.0,93.0
1970-01-01 17:15:00,43.5,94.0
1970-01-01 17:20:00,39.0,95.0
1970-01-01 17:25:00,33.0,95.0
1970-01-01 17:30:00,37.0,93.0
1970-01-01 17:35:00,40.0,94.0
1970-01-01 17:40:00,40.0,96.0
1970-01-01 17:45:00,46.0,94.0
1970-01-01 17:50:00,34.0,95.0
1970-01-01 17:55:00,36.0,94.0
1970-01-01 18:00:00,40.0,97.0
1970-01-01 18:05:00,40.0,94.0
1970-01-01 18:10:00,42.0,96.0
1970-01-01 18:15:00,41.0,92.0
1970-01-01 18:20:00,34.0,92.0
1970-01-01 18:25:00,31.0,93.0
1970-01-01 18:30:00,31.0,90.0
1970-01-01 18:35:00,37.0,93.0
1970-01-01 18:40:00,31.0,91.0
1970-01-01 18:45:00,29.0,89.0
1970-01-01 18:50:00,43.0,90.0
1970-01-01 18:55:00,30.0,91.0
1970-01-01 19:00:00,23.0,91.0
1970-01-01 19:05:00,23.5,91.125
1970-01-01 19:10:00,24.0,91.25
1970-01-01 19:15:00,24.5,91.375
1970-01-01 19:20:00,25.0,91.5
1970-01-01 19:25:00,25.5,91.625
1970-01-01 19:30:00,26.0,91.75
1970-01-01 19:35:00,26.5,91.875
1970-01-01 19:40:00,27.0,92.0
1970-01-01 19:45:00,30.0,93.0
1970-01-01 19:50:00,25.0,91.0
1970-01-01 19:55:00,27.333333333333332,91.66666666666667
1970-01-01 20:00:00,29.666666666666668,92.33333333333333
1970-01-01 20:05:00,32.0,93.0
1970-01-01 20:10:00,38.0,93.5
1970-01-01 20:15:00,44.0,94.0
1970-01-01 20:20:00,28.0,93.0
1970-01-01 20:25:00,34.0,94.0
1970-01-01 20:30:00,38.0,93.0
1970-01-01 20:35:00,30.0,93.0
1970-01-01 20:40:00,40.0,94.0
1970-01-01 20:45:00,25.0,93.0
1970-01-01 20:50:00,26.0,94.0
1970-01-01 20:55:00,29.0,96.0
1970-01-01 21:00:00,31.0,96.0
1970-01-01 21:05:00,34.0,96.0
1970-01-01 21:10:00,30.0,95.0
1970-01-01 21:15:00,29.0,93.0
1970-01-01 21:20:00,30.0,88.0
1970-01-01 21:25:00,31.0,83.0
1970-01-01 21:30:00,29.0,86.0
1970-01-01 21:35:00,81.0,86.0
1970-01-01 21:40:00,29.0,86.0
1970-01-01 21:45:00,21.0,82.0
1970-01-01 21:50:00,27.0,83.0
1970-01-01 21:55:00,29.0,84.0
1970-01-01 22:00:00,29.0,82.0
1970-01-01 22:05:00,63.0,85.0
1970-01-01 22:10:00,25.0,84.0
1970-01-01 22:15:00,55.0,83.0
1970-01-01 22:20:00,24.0,83.0
1970-01-01 22:25:00,48.0,83.0
1970-01-01 22:30:00,21.0,83.0
1970-01-01 22:35:00,24.0,83.0
1970-01-01 22:40:00,21.666666666666668,82.66666666666667
1970-01-01 22:45:00,19.333333333333332,82.33333333333333
1970-01-01 22:50:00,17.0,82.0
1970-01-01 22:55:00,20.0,84.0
1970-01-01 23:00:00,31.0,84.0
1970-01-01 23:05:00,27.0,85.0
1970-01-01 23:10:00,22.0,84.0
1970-01-01 23:15:00,32.0,83.0
1970-01-01 23:20:00,18.0,83.0
1970-01-01 23:25:00,43.0,84.0
1970-01-01 23:30:00,16.0,84.0
1970-01-01 23:35:00,20.0,84.0
1970-01-01 23:40:00,18.0,83.0
1970-01-01 23:45:00,22.0,86.0
1970-01-01 23:50:00,20.0,86.0
1970-01-01 23:55:00,17.0,84.0
1970-01-02 00:00:00,33.0,84.0
1970-01-02 00:05:00,15.0,86.0
1970-01-02 00:10:00,37.0,89.0
1970-01-02 00:15:00,34.0,87.0
1970-01-02 00:20:00,37.0,92.0
1970-01-02 00:25:00,43.0,92.0
1970-01-02 00:30:00,36.0,94.0
1970-01-02 00:35:00,39.0,92.66666666666667
1970-01-02 00:40:00,42.0,91.33333333333333
1970-01-02 00:45:00,45.0,90.0
1970-01-02 00:50:00,28.0,89.0
1970-01-02 00:55:00,32.0,90.0
1970-01-02 01:00:00,30.0,92.0
1970-01-02 01:05:00,38.0,93.0
1970-01-02 01:10:00,24.0,87.0
1970-01-02 01:15:00,39.0,90.0
1970-01-02 01:20:00,39.0,93.0
1970-01-02 01:25:00,27.0,90.0
1970-01-02 01:30:00,29.0,90.0
1970-01-02 01:35:00,33.0,93.0
1970-01-02 01:40:00,39.0,92.0
1970-01-02 01:45:00,38.81818181818182,91.81818181818181
1970-01-02 01:50:00,38.63636363636363,91.63636363636364
1970-01-02 01:55:00,38.45454545454545,91.45454545454545
1970-01-02 02:00:00,38.27272727272727,91.27272727272727
1970-01-02 02:05:00,38.09090909090909,91.0909090909091
1970-01-02 02:10:00,37.90909090909091,90.9090909090909
1970-01-02 02:15:00,37.72727272727273,90.72727272727273
1970-01-02 02:20:00,37.54545454545455,90.54545454545455
1970-01-02 02:25:00,37.36363636363637,90.36363636363636
1970-01-02 02:30:00,37.18181818181818,90.18181818181819
1970-01-02 02:35:00,37.0,90.0
1970-01-02 02:40:00,35.0,90.0
1970-01-02 02:45:00,46.0,93.0
1970-01-02 02:50:00,42.0,95.0
1970-01-02 02:55:00,36.0,91.0
1970-01-02 03:00:00,39.0,90.0
1970-01-02 03:05:00,45.0,96.0
1970-01-02 03:10:00,43.0,94.0
1970-01-02 03:15:00,37.0,93.0
1970-01-02 03:20:00,33.0,93.0
1970-01-02 03:25:00,31.0,91.0
1970-01-02 03:30:00,45.0,97.0
1970-01-02 03:35:00,38.0,92.0
1970-01-02 03:40:00,37.0,93.0
1970-01-02 03:45:00,35.0,93.0
1970-01-02 03:50:00,30.0,93.0
1970-01-02 03:55:00,31.0,92.0
1970-01-02 04:00:00,37.0,92.0
1970-01-02 04:05:00,39.0,92.0
1970-01-02 04:10:00,43.0,93.0
1970-01-02 04:15:00,40.0,94.0
1970-01-02 04:20:00,29.0,91.0
1970-01-02 04:25:00,34.0,90.0
1970-01-02 04:30:00,34.0,91.0
1970-01-02 04:35:00,42.0,92.0
1970-01-02 04:40:00,42.333333333333336,92.33333333333333
1970-01-02 04:45:00,42.666666666666664,92.66666666666667
1970-01-02 04:50:00,43.0,93.0
1970-01-02 04:55:00,36.0,92.0
1970-01-02 05:00:00,38.0,88.0
1970-01-02 05:05:00,51.0,93.0
1970-01-02 05:10:00,53.0,87.0
1970-01-02 05:15:00,38.0,80.0
1970-01-02 05:20:00,58.0,83.0
1970-01-02 05:25:00,47.0,86.0
1970-01-02 05:30:00,49.0,89.0
1970-01-02 05:35:00,70.0,87.0
1970-01-02 05:40:00,64.0,94.0
1970-01-02 05:45:00,42.0,87.0
1970-01-02 05:50:00,56.0,91.0
1970-01-02 05:55:00,44.0,86.0
1970-01-02 06:00:00,76.0,92.0
1970-01-02 06:05:00,76.0,92.0
1970-01-02 06:10:00,80.0,93.0
1970-01-02 06:15:00,64.0,89.0
1970-01-02 06:20:00,68.0,91.0
1970-01-02 06:25:00,60.0,88.0
1970-01-02 06:30:00,60.0,86.0
1970-01-02 06:35:00,55.0,88.0
1970-01-02 06:40:00,55.0,92.0
1970-01-02 06:45:00,57.0,91.0
1970-01-02 06:50:00,61.0,94.0
1970-01-02 06:55:00,79.0,96.0
1970-01-02 07:00:00,61.0,91.0
1970-01-02 07:05:00,57.0,95.0
1970-01-02 07:10:00,50.0,93.0
1970-01-02 07:15:00,55.0,90.0
1970-01-02 07:20:00,51.0,91.0
1970-01-02 07:25:00,41.0,87.0
1970-01-02 07:30:00,49.0,92.0
1970-01-02 07:35:00,52.0,97.0
1970-01-02 07:40:00,53.0,95.0
1970-01-02 07:45:00,44.0,90.0
1970-01-02 07:50:00,38.0,84.0
1970-01-02 07:55:00,58.0,93.0
1970-01-02 08:00:00,57.0,91.0
1970-01-02 08:05:00,64.0,93.0
1970-01-02 08:10:00,56.0,87.0
1970-01-02 08:15:00,40.0,87.0
1970-01-02 08:20:00,41.0,87.0
1970-01-02 08:25:00,43.0,89.0
1970-01-02 08:30:00,52.0,92.0
1970-01-02 08:35:00,54.0,86.0
1970-01-02 08:40:00,55.0,87.0
1970-01-02 08:45:00,51.0,88.0
1970-01-02 08:50:00,73.0,84.0
1970-01-02 08:55:00,58.0,86.0
1970-01-02 09:00:00,45.0,87.0
1970-01-02 09:05:00,56.0,90.0
1970-01-02 09:10:00,56.0,87.0
1970-01-02 09:15:00,58.0,85.0
1970-01-02 09:20:00,41.0,83.0
1970-01-02 09:25:00,50.0,83.0
1970-01-02 09:30:00,55.0,84.0
1970-01-02 09:35:00,61.0,87.0
1970-01-02 09:40:00,51.0,87.0
1970-01-02 09:45:00,54.0,85.0
1970-01-02 09:50:00,48.0,86.0
1970-01-02 09:55:00,43.0,85.0
1970-01-02 10:00:00,47.0,88.0
1970-01-02 10:05:00,52.0,89.0
1970-01-02 10:10:00,45.0,88.0
1970-01-02 10:15:00,58.0,88.0
1970-01-02 10:20:00,51.0,89.0
1970-01-02 10:25:00,47.5,87.5
1970-01-02 10:30:00,44.0,86.0
1970-01-02 10:35:00,40.0,85.0
1970-01-02 10:40:00,39.0,86.0
1970-01-02 10:45:00,40.0,86.0
1970-01-02 10:50:00,42.0,85.0
1970-01-02 10:55:00,39.0,87.0
1970-01-02 11:00:00,40.0,86.0
1970-01-02 11:05:00,46.0,88.0
1970-01-02 11:10:00,57.0,89.0
1970-01-02 11:15:00,54.0,92.0
1970-01-02 11:20:00,55.0,88.0
1970-01-02 11:25:00,56.0,89.0
1970-01-02 11:30:00,64.0,89.0
1970-01-02 11:35:00,42.0,89.0
1970-01-02 11:40:00,53.0,91.0
1970-01-02 11:45:00,65.0,91.0
1970-01-02 11:50:00,45.0,91.0
1970-01-02 11:55:00,61.0,89.0
1970-01-02 12:00:00,49.0,91.0
1970-01-02 12:05:00,43.0,92.0
1970-01-02 12:10:00,42.0,93.0
1970-01-02 12:15:00,38.0,93.0
1970-01-02 12:20:00,41.0,94.0
1970-01-02 12:25:00,38.0,90.0
1970-01-02 12:30:00,44.0,91.0
1970-01-02 12:35:00,38.0,91.0
1970-01-02 12:40:00,40.0,93.0
1970-01-02 12:45:00,39.0,93.0
1970-01-02 12:50:00,38.0,95.0
1970-01-02 12:55:00,37.0,93.0
1970-01-02 13:00:00,40.0,93.0
1970-01-02 13:05:00,43.0,92.0
1970-01-02 13:10:00,55.0,95.0
1970-01-02 13:15:00,46.0,93.0
1970-01-02 13:20:00,38.0,94.0
1970-01-02 13:25:00,36.0,94.0
1970-01-02 13:30:00,36.0,95.0
1970-01-02 13:35:00,37.0,94.0
1970-01-02 13:40:00,42.0,94.0
1970-01-02 13:45:00,31.0,94.0
1970-01-02 13:50:00,53.0,94.0
1970-01-02 13:55:00,46.5,95.0
1970-01-02 14:00:00,40.0,96.0
1970-01-02 14:05:00,43.0,95.0
1970-01-02 14:10:00,42.0,93.0
1970-01-02 14:15:00,47.0,93.0
1970-01-02 14:20:00,39.0,92.0
1970-01-02 14:25:00,32.0,90.0
1970-01-02 14:30:00,38.0,92.0
1970-01-02 14:35:00,38.0,89.0
1970-01-02 14:40:00,38.5,89.5
1970-01-02 14:45:00,39.0,90.0
1970-01-02 14:50:00,47.0,92.0
1970-01-02 14:55:00,41.0,90.0
1970-01-02 15:00:00,43.0,92.0
1970-01-02 15:05:00,36.0,93.0
1970-01-02 15:10:00,35.985074626865675,92.98507462686567
1970-01-02 15:15:00,35.97014925373134,92.97014925373135
1970-01-02 15:20:00,35.95522388059702,92.95522388059702
1970-01-02 15:25:00,35.940298507462686,92.94029850746269
1970-01-02 15:30:00,35.92537313432836,92.92537313432835
1970-01-02 15:35:00,35.91044776119403,92.91044776119404
1970-01-02 15:40:00,35.8955223880597,92.8955223880597
1970-01-02 15:45:00,35.88059701492537,92.88059701492537
1970-01-02 15:50:00,35.865671641791046,92.86567164179104
1970-01-02 15:55:00,35.850746268656714,92.85074626865672
1970-01-02 16:00:00,35.83582089552239,92.83582089552239
1970-01-02 16:05:00,35.82089552238806,92.82089552238806
1970-01-02 16:10:00,35.80597014925373,92.80597014925372
1970-01-02 16:15:00,35.791044776119406,92.7910447761194
1970-01-02 16:20:00,35.776119402985074,92.77611940298507
1970-01-02 16:25:00,35.76119402985075,92.76119402985074
1970-01-02 16:30:00,35.74626865671642,92.74626865671642
1970-01-02 16:35:00,35.73134328358209,92.73134328358209
1970-01-02 16:40:00,35.71641791044776,92.71641791044776
1970-01-02 16:45:00,35.701492537313435,92.70149253731343
1970-01-02 16:50:00,35.6865671641791,92.68656716417911
1970-01-02 16:55:00,35.67164179104478,92.67164179104478
1970-01-02 17:00:00,35.656716417910445,92.65671641791045
1970-01-02 17:05:00,35.64179104477612,92.64179104477611
1970-01-02 17:10:00,35.62686567164179,92.6268656716418
1970-01-02 17:15:00,35.61194029850746,92.61194029850746
1970-01-02 17:20:00,35.59701492537314,92.59701492537313
1970-01-02 17:25:00,35.582089552238806,92.58208955223881
1970-01-02 17:30:00,35.56716417910448,92.56716417910448
1970-01-02 17:35:00,35.55223880597015,92.55223880597015
1970-01-02 17:40:00,35.53731343283582,92.53731343283582
1970-01-02 17:45:00,35.52238805970149,92.5223880597015
1970-01-02 17:50:00,35.507462686567166,92.50746268656717
1970-01-02 17:55:00,35.492537313432834,92.49253731343283
1970-01-02 18:00:00,35.47761194029851,92.4776119402985
1970-01-02 18:05:00,35.46268656716418,92.46268656716418
1970-01-02 18:10:00,35.44776119402985,92.44776119402985
1970-01-02 18:15:00,35.43283582089552,92.43283582089552
1970-01-02 18:20:00,35.417910447761194,92.41791044776119
1970-01-02 18:25:00,35.40298507462687,92.40298507462687
1970-01-02 18:30:00,35.38805970149254,92.38805970149254
1970-01-02 18:35:00,35.37313432835821,92.3731343283582
1970-01-02 18:40:00,35.35820895522388,92.35820895522389
1970-01-02 18:45:00,35.343283582089555,92.34328358208955
1970-01-02 18:50:00,35.32835820895522,92.32835820895522
1970-01-02 18:55:00,35.3134328358209,92.31343283582089
1970-01-02 19:00:00,35.298507462686565,92.29850746268657
1970-01-02 19:05:00,35.28358208955224,92.28358208955224
1970-01-02 19:10:00,35.26865671641791,92.26865671641791
1970-01-02 19:15:00,35.25373134328358,92.25373134328358
1970-01-02 19:20:00,35.23880597014925,92.23880597014926
1970-01-02 19:25:00,35.223880597014926,92.22388059701493
1970-01-02 19:30:00,35.208955223880594,92.2089552238806
